,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
TFAP2B,-1.1605061172171134,-0.037921366041576525,-16.520139453683115,1.895960805575914e-50,2.4751446547988433e-49,103.77314265973469,Her2_vs_Normal
DQ586243,-1.391791613211391,1.1793995518587634,-16.514190309669633,2.0270667495337886e-50,2.6325542201737512e-49,103.70654257148163,Her2_vs_Normal
MIR4691,-1.414586215789224,1.3328119673993444,-16.488996575527704,2.690308364975918e-50,3.484855395046526e-49,103.42459564028648,Her2_vs_Normal
LTF,-2.9611168162323596,3.5167505917981656,-16.34251524522986,1.390758218697668e-49,1.7739262993592704e-48,101.78836241480101,Her2_vs_Normal
SNORA65,-1.475167566447143,4.520874029648416,-16.331560596929076,1.5722300433941524e-49,1.9901646118913322e-48,101.66620862368,Her2_vs_Normal
BEX1,-1.3306405043671732,7.122946339833826,-16.322818895357646,1.7338495751901146e-49,2.1892040090784276e-48,101.56875252158606,Her2_vs_Normal
KCNJ3,-1.3854714809836537,-0.03080732809108135,-16.299257404701684,2.2568789535531084e-49,2.842416818076963e-48,101.30617423077962,Her2_vs_Normal
AK097012,-1.786899686714187,2.094883820008334,-16.244405179918402,4.167070347050666e-49,5.2218926654770246e-48,100.6954194262811,Her2_vs_Normal
SNORA45,-1.2176379243079494,2.036774731276382,-16.23196860226758,4.788158995898779e-49,5.971652655342159e-48,100.55704927671225,Her2_vs_Normal
PRAME,-1.3325079638603199,-0.2830273329151594,-16.23194791689085,4.789265429584411e-49,5.971652655342159e-48,100.5568191625338,Her2_vs_Normal
Mir_544,-1.1615949881034622,2.145878929450617,-16.098073648617557,2.131597853210281e-48,2.574393542524494e-47,99.06982701255093,Her2_vs_Normal
CST9,-1.4469039300665,2.488059268797779,-16.055206339689903,3.434936788405176e-48,4.1186292426920574e-47,98.59466202144968,Her2_vs_Normal
MIR6894,-1.2197544574759962,0.9308410161952904,-15.98489262262331,7.505097318067511e-48,8.913417242360465e-47,97.81630892270819,Her2_vs_Normal
SNORA58,-1.1762945273789336,1.726177701268641,-15.899329103131564,1.9393373576997132e-47,2.2602999506989665e-46,96.87091375798468,Her2_vs_Normal
VTRNA1-3,-1.4000506851778671,0.1058097749374544,-15.856306101697962,3.123532077812592e-47,3.6320140439681296e-46,96.39629311322818,Her2_vs_Normal
AX810705,-1.99102979293269,6.642652979306118,-15.781074924594897,7.179276584410961e-47,8.23311534909514e-46,95.56756698983297,Her2_vs_Normal
MIRLET7D,-1.127033786026257,0.3228794098968543,-15.674954306213408,2.3162348688744403e-46,2.620175191034435e-45,94.40121951451168,Her2_vs_Normal
SNORA37,-1.5377389065941567,-0.008557101752148102,-15.61194304394125,4.636570244016606e-46,5.174743575911391e-45,93.71016453984784,Her2_vs_Normal
MIR1273F,-1.5236769100392193,1.270464409246824,-15.478325345163453,2.0125977542040453e-45,2.2067957831184708e-44,92.24848819590277,Her2_vs_Normal
CXCL13,-1.1457242207372773,0.07673174861186113,-15.285853010161322,1.6528612417014434e-44,1.7734562679200035e-43,90.15209895427414,Her2_vs_Normal
SNORD94,-2.2835718572516535,7.199337823496818,-15.15336817513197,6.997649145948027e-44,7.319716679861953e-43,88.71550025884652,Her2_vs_Normal
P27_CRE,-3.028551625395938,4.783565765272247,-14.72371012896878,7.26709475570616e-42,7.138599956489353e-41,84.09400339253908,Her2_vs_Normal
MIR5691,-2.8579845462362856,2.0477901111970227,-14.634946624038099,1.882614200377822e-41,1.8207100583924778e-40,83.14664135039605,Her2_vs_Normal
ST8SIA6-AS1,-2.1966682608896697,6.840944493375916,-14.55359785306967,4.494121982196692e-41,4.247752346121637e-40,82.28071166402003,Her2_vs_Normal
MIR4530,-1.1890506039336264,5.677086048213261,-14.535427136768229,5.456599739883899e-41,5.109175786408145e-40,82.08759358925684,Her2_vs_Normal
FABP4,-1.1897514465704109,4.895045353593761,-14.486468204249105,9.199404687682686e-41,8.581534223584595e-40,81.56781369586375,Her2_vs_Normal
HW120529,-1.1882834913294056,0.6340172616865247,-14.417626273769248,1.9148234567170315e-40,1.766442303244494e-39,80.83832161725759,Her2_vs_Normal
DQ582057,-1.2925043496781323,5.195738260974055,-14.351380216120244,3.871100927602934e-40,3.544964219416606e-39,80.1378727831655,Her2_vs_Normal
AK124272,-1.9147485168070932,0.20611407782851118,-14.251673011737449,1.1135807029908828e-39,1.0086781729989882e-38,79.08649815579683,Her2_vs_Normal
DIO1,-1.7355279111587105,1.6687367363566696,-14.247772254647552,1.1604969214636958e-39,1.0473798930177761e-38,79.04543694646942,Her2_vs_Normal
SERPINA11,-1.88413414248577,4.662143751001967,-14.06389232888186,8.069803099269087e-39,7.041713001107406e-38,77.11596633453647,Her2_vs_Normal
DKFZp686O16217,-1.7978802162199752,0.9479896933554541,-13.884778463248566,5.27483671006647e-38,4.447585758909333e-37,75.24827339241442,Her2_vs_Normal
CIDEC,-1.114921546732244,-1.7870530081782563,-13.798641252095212,1.2956974127305006e-37,1.0833590407445657e-36,74.35431284793086,Her2_vs_Normal
TPRG1-AS2,-2.162620441337643,4.640943502106757,-13.783835331668156,1.511716268269921e-37,1.2618666680049425e-36,74.20093238111195,Her2_vs_Normal
BPIFB2,-1.912798723731418,-0.33166469055703096,-13.726172871340818,2.7538312475299132e-37,2.279661628749928e-36,73.60437350733874,Her2_vs_Normal
CALML3,-2.387908936709218,0.4361008572786997,-13.721704344387186,2.8846925713230528e-37,2.3840434473744237e-36,73.55819610059119,Her2_vs_Normal
