,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
SNORD71,-1.7435326368172135,2.7168758834579076,-18.999082565361316,2.256854757351247e-65,6.522701610841754e-64,137.91955012475586,Basal_vs_Her2
SNORD69,-2.0849850988435317,2.4753102994834104,-18.807236686781,2.532822759531652e-64,7.19551920321492e-63,135.50927896348335,Basal_vs_Her2
JC002043,-2.313274385279891,-0.8073080343230864,-18.75284304084174,5.019993509241465e-64,1.4101105363037822e-62,134.82737575467755,Basal_vs_Her2
TRNA_Ser,-1.221312193613962,1.7390473604925487,-18.705262985629123,9.127498084127844e-64,2.5075544187164403e-62,134.23143474061735,Basal_vs_Her2
SNORD2,-2.4056525711743877,-1.440646531218093,-18.704430523910442,9.223433344088908e-64,2.520063755215549e-62,134.22101268886155,Basal_vs_Her2
JA611268,-3.1851690265175954,0.2786834731811023,-18.652716502094314,1.7654143183900291e-63,4.7457374150269605e-62,133.5738843570369,Basal_vs_Her2
MIR6514,-2.097717146138894,-1.7768604867496731,-18.639679669681392,2.0791433392955254e-63,5.559206789560228e-62,133.41084285437032,Basal_vs_Her2
L13714,-3.8459923873200834,0.5816537203297961,-18.61019263105326,3.0095236332466314e-63,8.004052216081466e-62,133.04221503651172,Basal_vs_Her2
DQ589398,-2.896879832536455,5.261100099860641,-18.609290393741528,3.043762853350781e-63,8.052282680822172e-62,133.03093899905738,Basal_vs_Her2
SNORD16,-2.2124126646625757,-1.1724560014880194,-18.47247647923417,1.6884175553755146e-62,4.307187641264068e-61,131.3232417579685,Basal_vs_Her2
MIR7111,-2.6823302958783106,-0.31193040656985993,-18.412017713412425,3.5948969011639223e-62,9.078022477686672e-61,130.5700001300091,Basal_vs_Her2
DQ571149,-1.901518408529108,1.0710833120642487,-18.35257821174746,7.550839305370504e-62,1.878318235166792e-60,129.8303052550895,Basal_vs_Her2
SNORD38B,-3.1264787067390225,1.0714399527244924,-18.310358032271456,1.278530747122516e-61,3.1646800671349407e-60,129.3054116527129,Basal_vs_Her2
SNORD104,-2.6379772339804393,-0.311767268496305,-18.265481316057578,2.2367357188981467e-61,5.509201278074252e-60,128.7479644776583,Basal_vs_Her2
MIR3918,-1.6411800098430842,1.1925966225929625,-18.262624726902832,2.3177647492211773e-61,5.680795953973474e-60,128.71249724635237,Basal_vs_Her2
TRNA_Asp,-2.566976293460928,1.3383376691843412,-18.25456088989831,2.5626635615823098e-61,6.25039893068856e-60,128.61238790349165,Basal_vs_Her2
SNORA54,-2.1975750747173572,2.683906046780665,-18.240024112961237,3.0712322995259584e-61,7.382769950783555e-60,128.43195973974775,Basal_vs_Her2
GSTM1,-2.0034413716163044,0.19862415490075408,-18.191295729393143,5.632403958075331e-61,1.3410485614465074e-59,127.82752918002475,Basal_vs_Her2
DQ593032,-2.2582192113472064,5.272348541274328,-18.176494675825023,6.770877065704254e-61,1.6044732383185436e-59,127.64405170873036,Basal_vs_Her2
SNORD58A,-1.9730019168475783,2.677301703963205,-18.135126121464026,1.1323543468269453e-60,2.658108795368416e-59,127.13152514606796,Basal_vs_Her2
DQ595000,-2.3960755623956254,3.651125086740038,-18.12721386881508,1.249331125223382e-60,2.905421221449725e-59,127.03354656242917,Basal_vs_Her2
TRNA_Ile,-2.400354518184187,-0.14643911965507792,-18.080058855160782,2.2438326525807895e-60,5.146405166469701e-59,126.44994398406678,Basal_vs_Her2
MIR3190,-3.4882548434368927,1.5829571446476622,-18.06677760962164,2.645906827712013e-60,6.0134246084363934e-59,126.28567267162316,Basal_vs_Her2
DQ592269,-2.848983695586563,0.05059910156569335,-18.004519821258725,5.726375156412903e-60,1.295559990138666e-58,125.51622136428082,Basal_vs_Her2
CARTPT,-2.5066574877851315,3.1998157490860444,-17.948176367951163,1.1507102750279016e-59,2.580067881228479e-58,124.82071700481325,Basal_vs_Her2
