,logFC,AveExpr,t,P.Value,adj.P.Val,B,comparison
SCARNA22,-1.9318111207085724,2.9158626383809225,-15.737519595311914,1.482523249753079e-50,2.5649191172198597e-49,103.91588306054777,Her2_vs_LumB
MIR622,-1.458936997878351,-0.9702431516538742,-15.728116561613914,1.6741964928763154e-50,2.886545677372958e-49,103.79489223829927,Her2_vs_LumB
SNORA52,-1.727771256494473,-2.429812067317595,-15.700424809281458,2.394420399409708e-50,4.100034930496075e-49,103.43884424553669,Her2_vs_LumB
SNORA36A,-1.6570727713955173,-0.7326027205771083,-15.647588324359146,4.733867611145429e-50,8.02350442567022e-49,102.76060800562932,Her2_vs_LumB
CALML5,-1.7694895529411367,2.4764750614114166,-15.601141185843224,8.6082348810639e-50,1.444334711587903e-48,102.16559735757934,Her2_vs_LumB
SNORD88C,-1.3900602302450018,-1.312854414192911,-15.579529527724683,1.1365371055613447e-49,1.9005637216744897e-48,101.88912819650093,Her2_vs_LumB
TAT,-1.5393513179323555,-2.2522593896702894,-15.573974232103861,1.2206317592994757e-49,2.0343862654991264e-48,101.81810132380896,Her2_vs_LumB
SNORA31,-1.532953958444815,0.6724807208958652,-15.523712478468765,2.3267420883751867e-49,3.8395083966587245e-48,101.17622371321032,Her2_vs_LumB
SERPINA6,-1.3380706113569414,-0.08333059316246694,-15.518279505179878,2.4945809695118964e-49,4.102929226170882e-48,101.1069208913045,Her2_vs_LumB
SNORA77,-1.9398763765532434,-0.4275962972081461,-15.44374298778249,6.476116992220902e-49,1.0479153709095311e-47,100.15771773898113,Her2_vs_LumB
MIR1972-1,-1.2259882570453413,-2.4055106648755094,-15.417472463294922,9.05810486055617e-49,1.4562869550733394e-47,99.82387438838954,Her2_vs_LumB
RNY1,-1.0430639982432814,-1.9268625765246028,-15.382441225521562,1.416146531988131e-48,2.269465596134825e-47,99.37927445643102,Her2_vs_LumB
TRNA_SeC,-1.4437852958292008,-1.3017333056328197,-15.371614126290813,1.625669676655356e-48,2.5804280581831046e-47,99.24199493456337,Her2_vs_LumB
MIR3135B,-1.2308123832235045,-0.011644840707484247,-15.341837783644246,2.3751650223010334e-48,3.758172503640876e-47,98.86477747441154,Her2_vs_LumB
HTJA84,-1.2307771407400778,-0.8647346017603124,-15.339119603151067,2.4587532153494408e-48,3.8781596456615784e-47,98.83036630184719,Her2_vs_LumB
SNORA43,-1.3017612381751864,0.38278548154514874,-15.230387837269037,9.776357066582146e-48,1.5227970508694932e-46,97.45712842838482,Her2_vs_LumB
SNORA11,-1.3054890011253568,3.321618213813032,-15.181950011457863,1.8044150910497718e-47,2.7932122152473246e-46,96.84743936593543,Her2_vs_LumB
SNORD67,-1.5458314502918655,-2.3945484836026174,-15.144488224894985,2.896051448714055e-47,4.428213224333417e-46,96.37678185693589,Her2_vs_LumB
MIR566,-2.277624220256053,3.1217305536857283,-15.134654973254095,3.2785726717241894e-47,4.9826332397024155e-46,96.2533670054486,Her2_vs_LumB
SNORA61,-1.3588277287865564,0.5099402520663125,-15.12338234683547,3.7793922443224614e-47,5.726351885337063e-46,96.11195190303573,Her2_vs_LumB
MIR5094,-1.691834331534543,-0.5393037277876749,-15.098669641991314,5.16014491199165e-47,7.794780833824246e-46,95.80217428901175,Her2_vs_LumB
MIR6832,-2.2557270620282077,-0.7298691130559989,-15.016623621154308,1.4475077558384449e-46,2.173435068826494e-45,94.77611823574982,Her2_vs_LumB
DHRS2,-1.5117583115075166,2.8366779757445526,-15.01304766213453,1.5139403285233877e-46,2.2663777373104608e-45,94.7314820571501,Her2_vs_LumB
NPY1R,-1.1453074962342524,-0.13228039822635276,-14.99910317379854,1.80331993901415e-46,2.683511814009152e-45,94.5574902413174,Her2_vs_LumB
JA783482,-1.2934376221325348,-0.31906949995773937,-14.996883245951715,1.8542222840509837e-46,2.7510716380578393e-45,94.52980108374089,Her2_vs_LumB
MIR3908,-1.2006373117001532,-2.5837514802141706,-14.990774969172175,2.0017942710854152e-46,2.9612341288245785e-45,94.45362660655921,Her2_vs_LumB
DQ596613,-1.5900929443540825,1.991723726357037,-14.892515062600646,6.842086971630127e-46,1.000305112811422e-44,93.23109770064349,Her2_vs_LumB
MIR6510,-1.9700404340996711,0.4083869119358278,-14.81672341626249,1.7592273720470126e-45,2.5422360867731396e-44,92.29178547625314,Her2_vs_LumB
MIR7109,-1.0668747627323263,-1.1795021809912605,-14.805376530425173,2.0258367417050072e-45,2.9106849737140906e-44,92.15143608009646,Her2_vs_LumB
U6atac,-1.419345572405971,-1.574933439398867,-14.783713507256795,2.651648895595596e-45,3.7772776290535554e-44,91.88368713495709,Her2_vs_LumB
SNORD50,-1.223697674346598,-1.9088176945010464,-14.752697853512755,3.896764896833491e-45,5.50390522151623e-44,91.50080123196328,Her2_vs_LumB
TRNA_Cys,-1.5087988824805574,4.1941903366412046,-14.713201899202948,6.357214246925524e-45,8.928671695120118e-44,91.01401081091396,Her2_vs_LumB
DQ594696,-1.191644653019682,1.6571568838528223,-14.629885730716751,1.779989947663545e-44,2.479094634628893e-43,89.99002566351766,Her2_vs_LumB
MIR3074,-1.2045591187176328,3.723527282672349,-14.629612966424666,1.785988525136185e-44,2.4805396182447014e-43,89.9866797595878,Her2_vs_LumB
SNORA3,-1.0325663295597938,3.7544378621997296,-14.610234401229963,2.2679684179561266e-44,3.115341233456218e-43,89.74907797001441,Her2_vs_LumB
DQ576951,-1.2447054006790557,0.8820486522482046,-14.506690386255762,8.099828251094341e-44,1.0975377034003172e-42,88.48314860636532,Her2_vs_LumB
SNORA14B,-1.3125394843465708,-1.6068035911276808,-14.394518371827106,3.194387492303925e-43,4.282020767163438e-42,87.11867608825705,Her2_vs_LumB
KLK11,-2.012620306063416,-1.7853337279374424,-14.302393093337294,9.805172200622362e-43,1.3004207162629127e-41,86.00349648020124,Her2_vs_LumB
BMPR1B,-1.8114973418665916,0.5738959153281554,-14.238103923631032,2.138410209006488e-42,2.8136976434295894e-41,85.22820123905821,Her2_vs_LumB
MIR6875,-1.0569071061515476,3.7924662700891867,-14.23340248958966,2.2636767713738193e-42,2.9707044243750913e-41,85.17159909788887,Her2_vs_LumB
